Product Name,Brand,Est. Secondary Market Price
1792 FULL PROOF,1792,65
ANCIENT ANCIENT AGE 10,Ancient Age,35
ANGELS ENVY CASK,Angel's Envy,245
BLANTON'S GOLD,Blanton's,190
BLANTONS,Blanton's,130
BOOKERS,Booker's,670
BUFFALO TRACE DISTILLERY KOSHER RYE BOURBON,Buffalo Trace,100
BULLEIT 10,Bulleit,40
EAGLE RARE 17,Eagle Rare,1300
ELIJAH CRAIG 18,Elijah Craig,215
ELIJAH CRAIG 23,Elijah Craig,2515
ELMER T LEE,Elmer T. Lee,215
FOUR ROSES SMALL BATCH SELECT,Four Roses,65
HENRY MCKENNA,Henry McKenna,75
JACK DANIEL'S HOLIDAY CALENDAR PACK,Jack Daniel's,120
JACK DANIELS,Jack Daniel's,19
JIM BEAM,Jim Beam,19
KNOB CREEK 12 YEAR,Knob Creek,105
LARCENY,John E. Fitzgerald Larceny,95
MAKERS MARK 46,Maker's 46,45
MICHTERS 25 YR KENTUCKY STRAIGHT BOURBON,Michter's,2940
MICHTERS SINGLE BARREL 10,Michter's,210
OLD FORESTER 1920,Old Forester,65
OLD FORESTER BIRTHDAY,Old Forester,585
OLD RIP VAN WINKLE 10,Old Rip Van Winkle,580
PAPPY VAN WINKLE 15,Pappy Van Winkle's,1575
PAPPY VAN WINKLE 23,Pappy Van Winkle's,2175
SAZERAC RYE 18,Sazerac,1260
STAGG JR,Stagg Jr.,120
WELLER SINGLE BARREL,Single Barrel Rye Whiskey,580
WOODFORD RESERVE DERBY,Woodford Reserve,140
